N,occurrence_id,classification,type_of_occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
1016,32378,ACCIDENT,LOSS OF CONTROL IN THE AIR,SINOP,MT,BRAZIL,****,21/04/2008,19:45:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1017,51449,SERIOUS INCIDENT,ABOUT LANDING GEAR,SINOP,MT,BRAZIL,SWSI,13/05/2014,15:50:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1018,52533,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SINOP,MT,BRAZIL,****,23/09/2014,17:30:00,YES,SERIPA-6,FINISHED,-,1.0,24/04/2015,0,1,-,30/07/2016
1019,47876,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SINOP,MT,BRAZIL,SWSI,21/04/2013,12:50:00,YES,SERIPA-6,FINISHED,-,1.0,18/03/2016,1,1,-,30/07/2016
1020,45936,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SINOP,MT,BRAZIL,****,13/06/2012,11:50:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1021,43268,ACCIDENT,LOW ALTITUDE MANEUVERS,SORRISO,MT,BRAZIL,****,18/11/2010,18:00:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
1022,28173,ACCIDENT,LOSS OF CONTROL IN THE AIR,SORRISO,MT,BRAZIL,****,11/12/2006,17:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1023,47296,ACCIDENT,UNKNOWN,SORRISO,MT,BRAZIL,****,26/03/2013,14:20:00,YES,SERIPA-6,FINISHED,-,1.0,15/07/2015,0,1,-,30/07/2016
1024,52843,SERIOUS INCIDENT,ABOUT LANDING GEAR,SORRISO,MT,BRAZIL,SSAC,11/12/2014,14:00:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1025,46747,ACCIDENT,LOSS OF CONTROL IN THE AIR,SORRISO,MT,BRAZIL,****,06/12/2012,20:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1026,45732,ACCIDENT,LOSS OF CONTROL IN THE AIR,SORRISO,MT,BRAZIL,****,03/04/2012,17:30:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
1027,45564,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SONORA,MS,BRAZIL,****,08/02/2012,09:50:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1028,46781,ACCIDENT,UNKNOWN,SONORA,MS,BRAZIL,****,31/12/2012,11:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1029,45270,ACCIDENT,LOSS OF CONTROL IN THE AIR,TABAPORA,MT,BRAZIL,****,20/11/2011,19:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1030,49119,ACCIDENT,LOSS OF CONTROL ON THE GROUND,TANGARA DA SERRA,MT,BRAZIL,SWTS,19/07/2013,20:30:00,YES,SERIPA-6,FINISHED,-,1.0,29/05/2014,1,1,-,30/07/2016
1031,50317,ACCIDENT,LOSS OF CONTROL IN THE AIR,TANGARA DA SERRA,MT,BRAZIL,SDVI,27/10/2013,13:00:00,YES,SERIPA-6,FINISHED,-,1.0,06/03/2015,0,1,-,30/07/2016
1032,52279,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,TANGARA DA SERRA,MT,BRAZIL,SDVI,07/09/2014,14:35:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1033,51006,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,TAQUARUSSU,MS,BRAZIL,****,23/04/2014,12:30:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1034,34650,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,TERRA SANTA,PA,BRAZIL,****,01/12/2008,20:40:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1035,49121,ACCIDENT,LOSS OF CONTROL ON THE GROUND,FORMOSA,GO,BRAZIL,SWFR,06/07/2013,16:35:00,YES,SERIPA-6,FINISHED,-,1.0,24/04/2014,0,1,-,30/07/2016
1036,52531,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,FORMOSA,GO,BRAZIL,SWFR,19/09/2014,16:30:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
1037,29620,ACCIDENT,FUEL STARVATION,FORMOSA,GO,BRAZIL,****,13/09/2006,23:50:00,YES,SERIPA-6,FINISHED,-,1.0,21/12/2011,1,1,-,30/07/2016
1038,44983,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,FORMOSA,GO,BRAZIL,SWFR,19/02/2011,20:40:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
1039,45830,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,FORMOSA,GO,BRAZIL,SWFR,06/05/2012,19:00:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,1.0,30/07/2016
1040,47354,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FORMOSA,GO,BRAZIL,****,03/04/2013,19:21:00,YES,SERIPA-6,FINISHED,-,1.0,08/07/2013,0,1,-,30/07/2016
1041,43725,ACCIDENT,LOSS OF CONTROL ON THE GROUND,FORMOSA,GO,BRAZIL,SWFR,18/12/2010,20:00:00,YES,SERIPA-6,FINISHED,-,1.0,15/04/2015,0,1,-,30/07/2016
1042,47018,ACCIDENT,LANDING BEFORE THE TRACK AREA,FORMOSA,GO,BRAZIL,****,16/02/2013,20:00:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
1043,50349,ACCIDENT,ANOTHER TYPES,TAPURAH,MT,BRAZIL,****,04/11/2013,21:39:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
1044,43266,ACCIDENT,LOSS OF CONTROL IN THE AIR,TAPURAH,MT,BRAZIL,****,18/11/2010,18:00:00,YES,SERIPA-6,FINISHED,-,-,-,2,1,-,30/07/2016
1045,44755,ACCIDENT,LOSS OF CONTROL IN THE AIR,TAPURAH,MT,BRAZIL,****,30/01/2007,20:30:00,YES,SERIPA-6,FINISHED,-,1.0,30/12/2009,7,1,-,30/07/2016
1046,50246,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,TAPURAH,MT,BRAZIL,****,18/12/2013,12:45:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1047,43472,ACCIDENT,ABOUT LANDING GEAR,PICOS,PI,BRAZIL,****,13/12/2010,12:30:00,YES,SERIPA-2,FINISHED,-,1.0,19/11/2012,5,1,-,30/07/2016
1048,52676,ACCIDENT,FUEL STARVATION,TUCUMA,PA,BRAZIL,****,30/11/2014,16:14:00,YES,SERIPA-1,FINISHED,-,1.0,22/05/2015,0,1,-,30/07/2016
1049,31278,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,NATAL,RN,BRAZIL,****,17/12/2007,19:27:00,YES,CENIPA,FINISHED,-,1.0,20/09/2012,16,1,-,30/07/2016
1050,32641,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,TESOURO,MT,BRAZIL,****,11/06/2008,11:26:00,YES,SERIPA-6,FINISHED,-,1.0,07/12/2009,7,1,-,30/07/2016
1051,44198,ACCIDENT,UNKNOWN,BURITAMA,SP,BRAZIL,****,19/03/2011,11:18:00,UNKNOWN,SERIPA-4,-,-,-,-,0,1,-,30/07/2016
1052,52832,ACCIDENT,LOSS OF CONTROL IN THE AIR,BURITAMA,SP,BRAZIL,****,14/12/2014,23:40:00,YES,SERIPA-4,FINISHED,-,1.0,19/10/2015,0,1,-,30/07/2016
1053,38376,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BURITAMA,SP,BRAZIL,****,22/07/2009,14:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1054,52989,SERIOUS INCIDENT,FUEL STARVATION,CONCEICAO DA FEIRA,BA,BRAZIL,****,26/01/2015,18:15:00,UNKNOWN,SERIPA-2,-,-,-,-,0,1,-,30/07/2016
1055,29955,ACCIDENT,LOSS OF CONTROL IN THE AIR,TORIXOREU,MT,BRAZIL,****,01/08/2007,18:25:00,YES,SERIPA-6,FINISHED,-,1.0,09/03/2009,8,1,-,30/07/2016
1056,51394,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FOZ DO IGUACU,PR,BRAZIL,****,10/05/2014,20:00:00,YES,SERIPA-5,FINISHED,-,1.0,06/06/2015,0,1,-,30/07/2016
1057,32156,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,FOZ DO IGUACU,PR,BRAZIL,SSHS,30/01/2008,18:00:00,YES,SERIPA-5,FINISHED,-,1.0,05/07/2010,5,1,-,30/07/2016
1058,34495,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FOZ DO IGUACU,PR,BRAZIL,****,30/11/2008,13:40:00,YES,SERIPA-5,FINISHED,-,1.0,10/06/2010,1,1,-,30/07/2016
1059,51991,ACCIDENT,SYSTEM / COMPONENT FAILURE,FOZ DO IGUACU,PR,BRAZIL,****,28/07/2014,17:30:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1060,46415,ACCIDENT,SYSTEM / COMPONENT FAILURE,FOZ DO IGUACU,PR,BRAZIL,SSHS,25/09/2012,14:35:00,YES,SERIPA-5,FINISHED,-,1.0,22/04/2016,2,1,-,30/07/2016
1061,50453,ACCIDENT,FUEL STARVATION,FOZ DO IGUACU,PR,BRAZIL,****,16/12/2013,19:42:00,YES,SERIPA-5,FINISHED,-,1.0,09/02/2015,0,1,-,30/07/2016
1062,52674,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PIRACURUCA,PI,BRAZIL,****,02/09/2014,19:00:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1063,38657,ACCIDENT,LOSS OF CONTROL IN THE AIR,TRES LAGOAS,MS,BRAZIL,SWKF,17/10/2009,14:00:00,YES,SERIPA-6,FINISHED,-,1.0,22/03/2012,1,1,-,30/07/2016
1064,48876,ACCIDENT,LANDING WITHOUT LANDING GEAR,TRES LAGOAS,MS,BRAZIL,SSTL,24/06/2013,13:45:00,YES,SERIPA-4,FINISHED,-,1.0,18/03/2016,0,1,-,30/07/2016
1065,38840,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,TRES LAGOAS,MS,BRAZIL,****,13/11/2009,10:30:00,YES,SERIPA-4,FINISHED,-,1.0,22/02/2012,2,1,-,30/07/2016
1066,39727,SERIOUS INCIDENT,ABOUT LANDING GEAR,VARZEA GRANDE,MT,BRAZIL,SBCY,23/02/2010,20:42:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
1067,45417,ACCIDENT,HARD LANDING,VARZEA GRANDE,MT,BRAZIL,****,31/01/2012,14:15:00,YES,SERIPA-6,FINISHED,-,1.0,27/11/2013,0,1,-,30/07/2016
1068,52554,SERIOUS INCIDENT,ABOUT LANDING GEAR,VARZEA GRANDE,MT,BRAZIL,SBCY,30/09/2014,11:15:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1069,38959,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,VARZEA GRANDE,MT,BRAZIL,****,12/12/2009,19:20:00,YES,SERIPA-6,FINISHED,-,1.0,17/12/2013,1,1,-,30/07/2016
1070,34038,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,PIRIPIRI,PI,BRAZIL,****,13/06/2008,16:33:00,YES,SERIPA-2,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1071,43729,ACCIDENT,UNKNOWN,XINGUARA,PA,BRAZIL,****,22/08/2010,15:30:00,YES,SERIPA-1,FINISHED,-,-,-,0,1,-,30/07/2016
1072,45049,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CONCEICAO DO COITE,BA,BRAZIL,****,07/09/2011,10:20:00,YES,SERIPA-2,FINISHED,-,1.0,06/06/2015,1,1,-,30/07/2016
1073,53110,ACCIDENT,ENGINE FAILURE IN THE GROUND,GOIOERE,PR,BRAZIL,****,16/02/2015,19:50:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1074,27834,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,PINHEIRO,MA,BRAZIL,****,02/10/2006,20:30:00,YES,SERIPA-1,FINISHED,-,1.0,31/07/2009,5,1,-,30/07/2016
1075,53571,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GARIBALDI,RS,BRAZIL,SSGA,21/11/2015,19:30:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1076,45286,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CONDEUBA,BA,BRAZIL,SIPO,14/11/2011,22:00:00,UNKNOWN,SERIPA-2,-,-,-,-,0,1,-,30/07/2016
1077,43463,SERIOUS INCIDENT,FUEL STARVATION,GOIÂNIA,GO,BRAZIL,****,09/12/2010,14:35:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1078,53494,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,SBGO,05/09/2015,14:00:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1079,44880,ACCIDENT,HARD LANDING,GOIÂNIA,GO,BRAZIL,SWNV,26/07/2011,12:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1080,52943,SERIOUS INCIDENT,AIR TRAFFIC,GOIÂNIA,GO,BRAZIL,****,20/01/2014,11:45:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,2,-,30/07/2016
1081,28053,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,SBGO,16/11/2006,12:58:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1082,52231,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SBGO,13/09/2014,21:14:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1083,45932,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SBGO,06/06/2012,14:05:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
1084,36346,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SBGO,08/10/2008,21:05:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1085,28795,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SBGO,04/04/2007,14:06:00,YES,SERIPA-6,FINISHED,-,1.0,15/08/2014,0,1,-,30/07/2016
1086,45311,ACCIDENT,UNKNOWN,GOIÂNIA,GO,BRAZIL,****,24/12/2011,13:45:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
1087,45061,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,GOIÂNIA,GO,BRAZIL,SBGO,28/09/2011,12:35:00,YES,SERIPA-6,FINISHED,-,1.0,16/06/2014,2,1,-,30/07/2016
1088,44539,ACCIDENT,FUEL STARVATION,GOIÂNIA,GO,BRAZIL,****,22/05/2011,15:30:00,YES,SERIPA-6,FINISHED,-,1.0,29/08/2012,3,1,-,30/07/2016
1089,44188,ACCIDENT,ANOTHER TYPES,GOIÂNIA,GO,BRAZIL,****,31/03/2011,14:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1090,53324,ACCIDENT,FUEL STARVATION,GOIÂNIA,GO,BRAZIL,SWNV,11/06/2015,17:55:00,YES,SERIPA-6,FINISHED,-,1.0,03/06/2016,0,1,-,30/07/2016
1091,49117,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,06/07/2013,15:25:00,YES,SERIPA-6,FINISHED,-,1.0,28/04/2014,0,1,-,30/07/2016
1092,49473,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,****,19/08/2013,19:00:00,YES,SERIPA-6,FINISHED,-,1.0,17/03/2014,0,1,-,30/07/2016
1093,43994,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,****,04/03/2011,14:45:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,1.0,30/07/2016
1094,48803,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,SWNV,21/06/2013,17:20:00,YES,SERIPA-6,FINISHED,-,1.0,16/07/2013,0,1,1.0,30/07/2016
1095,53486,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,SBGO,19/09/2015,13:20:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1096,40127,SERIOUS INCIDENT,TIRE BURST,GOIÂNIA,GO,BRAZIL,SBGO,02/09/2009,21:15:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
1097,45047,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SBGO,14/09/2011,17:10:00,YES,SERIPA-6,FINISHED,-,-,-,3,1,-,30/07/2016
1098,45127,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,09/10/2011,19:10:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1099,46564,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SWNV,03/11/2012,16:50:00,YES,SERIPA-6,FINISHED,-,1.0,16/06/2014,0,1,-,30/07/2016
1100,35555,ACCIDENT,ANOTHER TYPES,GOIÂNIA,GO,BRAZIL,****,12/03/2009,18:15:00,YES,SERIPA-6,FINISHED,-,1.0,27/06/2011,0,1,-,30/07/2016
1101,27952,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,****,19/11/2006,15:00:00,YES,SERIPA-6,FINISHED,-,1.0,06/06/2016,0,1,-,30/07/2016
1102,46865,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SBGO,25/01/2013,13:55:00,YES,SERIPA-6,FINISHED,-,1.0,28/04/2014,1,1,-,30/07/2016
1103,49618,SERIOUS INCIDENT,FLUID LEAKS,GOIÂNIA,GO,BRAZIL,SBGO,31/08/2013,12:33:00,YES,SERIPA-6,FINISHED,-,1.0,22/07/2016,4,1,-,30/07/2016
1104,44845,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,GOIÂNIA,GO,BRAZIL,SWNV,16/07/2011,13:00:00,UNKNOWN,SERIPA-6,-,-,-,-,0,1,-,30/07/2016
1105,38645,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,****,06/10/2009,11:15:00,YES,SERIPA-6,FINISHED,-,1.0,29/09/2014,1,1,-,30/07/2016
1106,49931,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,09/10/2013,16:30:00,YES,SERIPA-6,FINISHED,-,1.0,03/06/2016,0,1,-,30/07/2016
1107,42565,ACCIDENT,FUEL STARVATION,GOIÂNIA,GO,BRAZIL,****,13/08/2010,21:00:00,YES,SERIPA-6,FINISHED,-,1.0,23/09/2011,6,1,-,30/07/2016
1108,41177,ACCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,****,20/05/2010,20:05:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,1.0,30/07/2016
1109,53263,ACCIDENT,HARD LANDING,GOIÂNIA,GO,BRAZIL,SWNV,08/05/2015,11:00:00,YES,SERIPA-6,FINISHED,-,1.0,22/04/2016,0,1,-,30/07/2016
1110,53466,ACCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,27/08/2015,14:00:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1111,46702,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,SWNV,11/12/2012,17:00:00,YES,SERIPA-6,FINISHED,-,-,-,0,1,-,30/07/2016
1112,53428,SERIOUS INCIDENT,HARD LANDING,GOIÂNIA,GO,BRAZIL,SWNV,06/08/2015,11:35:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,1.0,30/07/2016
1113,46200,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SWNV,02/08/2012,12:40:00,YES,SERIPA-6,FINISHED,-,1.0,15/07/2015,0,1,-,30/07/2016
1114,45754,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,GOIÂNIA,GO,BRAZIL,SWNV,30/03/2012,14:30:00,YES,SERIPA-6,FINISHED,-,1.0,21/10/2013,0,1,1.0,30/07/2016
1115,45098,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SBGO,17/09/2011,14:45:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1116,43294,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,****,22/11/2010,18:30:00,YES,SERIPA-6,FINISHED,-,1.0,21/12/2011,9,1,-,30/07/2016
1117,40213,SERIOUS INCIDENT,ABOUT LANDING GEAR,GOIÂNIA,GO,BRAZIL,SWNV,09/04/2010,21:00:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1118,52271,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,GOIANIRA,GO,BRAZIL,****,23/08/2014,13:30:00,YES,SERIPA-6,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1119,44531,ACCIDENT,FUEL STARVATION,CAIABU,SP,BRAZIL,****,01/04/2011,12:30:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1120,44855,ACCIDENT,TERRAIN COLLISION,JARAGUA DO SUL,SC,BRAZIL,****,15/07/2011,12:25:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1121,26610,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,NOVA MARINGA,MT,BRAZIL,SWCY,24/03/2006,15:30:00,YES,SERIPA-6,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1122,43503,ACCIDENT,FLIGHT COMMANDS,JOACABA,SC,BRAZIL,****,09/11/2010,13:25:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1123,39255,ACCIDENT,LOSS OF CONTROL IN THE AIR,GUAPIRAMA,PR,BRAZIL,****,11/10/2009,21:35:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1124,50292,ACCIDENT,LOSS OF CONTROL IN THE AIR,JOINVILLE,SC,BRAZIL,SBJV,22/10/2013,19:40:00,YES,SERIPA-5,FINISHED,-,1.0,17/03/2014,1,1,-,30/07/2016
1125,27531,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JOINVILLE,SC,BRAZIL,****,20/08/2006,13:00:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1126,44793,ACCIDENT,LANDING ON UNPREDICTABLE PLACE,JOINVILLE,SC,BRAZIL,****,10/06/2011,15:15:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1127,43091,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JOINVILLE,SC,BRAZIL,SBJV,25/07/2010,15:10:00,UNKNOWN,SERIPA-5,-,-,-,-,0,1,-,30/07/2016
1128,52988,ACCIDENT,HARD LANDING,JOINVILLE,SC,BRAZIL,SBJV,03/02/2015,17:45:00,YES,SERIPA-5,FINISHED,-,1.0,13/10/2015,1,1,-,30/07/2016
1129,53116,ACCIDENT,LOSS OF CONTROL IN THE AIR,BUENO BRANDAO,MG,BRAZIL,****,19/02/2015,13:40:00,YES,SERIPA-3,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1130,44549,ACCIDENT,ANOTHER TYPES,CORIBE,BA,BRAZIL,SDKE,04/02/2011,14:00:00,YES,SERIPA-2,FINISHED,-,1.0,22/03/2012,4,1,-,30/07/2016
1131,52811,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAJAMAR,SP,BRAZIL,****,27/08/2014,15:10:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1132,44853,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAJAMAR,SP,BRAZIL,****,18/07/2011,12:45:00,YES,SERIPA-4,FINISHED,-,1.0,23/06/2016,2,1,-,30/07/2016
1133,44405,ACCIDENT,ANOTHER TYPES,CAJAMAR,SP,BRAZIL,****,17/04/2011,18:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1134,47659,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAJAMAR,SP,BRAZIL,****,22/04/2013,14:00:00,YES,SERIPA-4,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1135,35182,ACCIDENT,FUEL STARVATION,CAJATI,SP,BRAZIL,****,19/02/2009,10:40:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1136,34496,ACCIDENT,LOSS OF CONTROL IN THE AIR,LAGES,SC,BRAZIL,****,28/10/2008,17:00:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1137,60783,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,LAGES,SC,BRAZIL,****,13/12/2015,14:00:00,YES,SERIPA-5,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1138,43722,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CAJOBI,SP,BRAZIL,****,23/12/2010,11:00:00,YES,SERIPA-4,IN PROGRESS,UNDEFINED,-,-,0,1,-,30/07/2016
1139,40328,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CORRENTINA,BA,BRAZIL,****,15/04/2010,17:25:00,YES,SERIPA-2,IN PROGRESS,-,-,-,0,1,-,30/07/2016
1140,31675,ACCIDENT,LOSS OF CONTROL IN THE AIR,CORRENTINA,BA,BRAZIL,****,05/02/2008,20:30:00,YES,SERIPA-2,FINISHED,-,1.0,18/08/2010,4,1,-,30/07/2016
1141,39115,ACCIDENT,FUEL STARVATION,CORRENTINA,BA,BRAZIL,SNTY,07/02/2010,17:40:00,YES,SERIPA-2,FINISHED,-,1.0,21/07/2011,2,1,-,30/07/2016
1142,41374,ACCIDENT,LOSS OF CONTROL IN THE AIR,CORRENTINA,BA,BRAZIL,****,26/05/2010,14:00:00,YES,SERIPA-2,FINISHED,-,1.0,29/08/2011,9,1,-,30/07/2016
